variable_names,pworker,pworker,ptotals
variable_categories,1,2,1
geo,,,
3918,1596.815376,1982.245312,3579.060688
3919,2012.292365,2498.007703,4510.300068
3920,2663.335447,3306.195748,5969.531195
3921,2037.051139,2528.742604,4565.793742
3922,1760.308246,2185.201133,3945.509379
3923,2191.549296,2720.53262,4912.081916
3924,1940.232963,2408.555025,4348.787988
3926,2922.161563,3627.495795,6549.657358
3927,1507.428978,1871.28335,3378.712328
3929,81.45845429,101.1204186,182.5788729
3930,2189.691233,2718.226069,4907.917301
3931,1775.525759,2204.091761,3979.61752
3932,1636.777843,2031.853685,3668.631528
3933,2013.485748,2499.489137,4512.974885
3934,1860.117231,2309.101426,4169.218657
3935,2623.293183,3256.488317,5879.781501
3936,1754.583401,2178.094459,3932.67786
3937,1779.106351,2208.536614,3987.642965
3938,1489.526021,1849.059082,3338.585104
3939,1110.878481,1379.015818,2489.894299
3940,2615.046054,3246.250544,5861.296598
3941,1911.31274,2372.654207,4283.966947
3942,2150.047952,2669.013925,4819.061877
3943,1550.298893,1924.500953,3474.799846
3944,664.1997042,824.520336,1488.72004
3945,2013.617701,2499.652941,4513.270642
