hid,pid,sample_geo,ptotals,prtotals,pworker,rpworker,rpage,rpsex
7126,1,1403,1,1,1,1,17,1
7142,1,701,1,1,1,1,7,1
7178,1,1201,1,1,2,2,17,1
7181,1,2302,1,1,2,2,5,2
7255,1,1600,1,1,1,1,10,1
7344,1,1003,1,1,1,1,11,1
7344,2,1003,1,1,1,1,10,2
7344,3,1003,1,1,2,2,2,1
7357,1,400,1,1,1,1,9,1
7357,2,400,1,1,2,2,7,2
7357,3,400,1,1,2,2,1,2
7381,1,1903,1,1,2,2,16,1
7381,2,1903,1,1,2,2,16,2
7414,1,2102,1,1,2,2,13,2
7414,2,2102,1,1,1,1,12,1
7414,3,2102,1,1,1,1,6,1
7439,1,1203,1,1,2,2,14,1
7470,1,1103,1,1,1,1,11,1
7470,2,1103,1,1,1,1,13,2
7470,3,1103,1,1,1,1,10,1
7470,4,1103,1,1,1,1,6,1
7484,1,904,1,1,1,1,9,1
7484,2,904,1,1,2,2,9,2
7484,3,904,1,1,2,2,3,1
7484,4,904,1,1,2,2,3,2
7484,5,904,1,1,2,2,2,1
7537,1,2202,1,1,2,2,15,2
7553,1,702,1,1,1,1,10,2
7594,1,2001,1,1,2,2,12,2
7628,1,1003,1,1,1,1,13,2
7674,1,905,1,1,1,1,8,1
7674,2,905,1,1,2,2,7,2
7693,1,306,1,1,2,2,4,2
7761,1,2102,1,1,2,2,15,1
7785,1,1201,1,1,2,2,16,1
7785,2,1201,1,1,2,2,16,2
7853,1,1600,1,1,1,1,13,1
7853,2,1600,1,1,1,1,11,2
7853,3,1600,1,1,1,1,6,2
7853,4,1600,1,1,2,2,3,2
7853,5,1600,1,1,2,2,2,2
7866,1,601,1,1,1,1,9,1
7902,1,1404,1,1,2,2,15,2
7972,1,701,1,1,1,1,8,2
7972,2,701,1,1,1,1,8,1
7972,3,701,1,1,2,2,1,1
7972,4,701,1,1,2,2,1,2
7972,5,701,1,1,2,2,14,1
7972,6,701,1,1,2,2,13,2
7991,1,1301,1,1,1,1,11,2
7991,2,1301,1,1,1,1,4,2
8035,1,1104,1,1,2,2,16,2
8035,2,1104,1,1,1,1,16,1
8127,1,907,1,1,1,1,14,1
8197,1,1002,1,1,2,2,12,2
