varialbe_names,hhtotals,hsize,hsize,hsize,hsize
variable_categories,1,1,2,3,4
geo,,,,,
3090049,0,0,0,0,0
3090042,4.044969876,0.434466295,0.441559623,1.169216778,1.99972718
3090033,147.0190974,15.79117881,16.04899398,42.49653291,72.68239172
3090025,198.2035239,21.28884847,21.63642151,57.29162214,97.98663181
3090023,49.55088098,5.322212118,5.409105377,14.32290554,24.49665795
3090024,53.59585086,5.756678413,5.850664999,15.49212231,26.49638513
3090019,0.388939411,0.041775605,0.042457656,0.11242469,0.19228146
3090015,0,0,0,0,0
3090011,0,0,0,0,0
3090010,0,0,0,0,0
3090012,0,0,0,0,0
3090009,0,0,0,0,0
3090007,0,0,0,0,0
3090005,0,0,0,0,0
3090008,0,0,0,0,0
3090004,0,0,0,0,0
3090001,0,0,0,0,0
3090003,0,0,0,0,0
3090002,0,0,0,0,0
3090013,0,0,0,0,0
3090032,121.7380357,13.07576447,13.28924633,35.18892804,60.18409685
3090038,60.67454814,6.51699443,6.623394339,17.53825168,29.9959077
3090043,276.069194,29.65232466,30.13644424,79.79904513,136.48138
3090045,813.116733,87.33608048,88.76197567,235.0350574,401.9836194
3090048,15.71315221,1.687734455,1.715289303,4.541957486,7.768170967
3090044,298.549892,32.06695464,32.59049676,86.29719222,147.5952484
914002104,0,0,0,0,0
914002101,0,0,0,0,0
914001001,0,0,0,0,0
914002102,0,0,0,0,0
914002207,0,0,0,0,0
914002208,0,0,0,0,0
914002103,0,0,0,0,0
914002105,0,0,0,0,0
914002206,0,0,0,0,0
3093007,0,0,0,0,0
3093002,0,0,0,0,0
3093001,33.28301887,26.81132075,5.547169811,0.924528302,0
3093005,0,0,0,0,0
3093003,0,0,0,0,0
3094002,2.716981132,2.188679245,0.452830189,0.075471698,0
1017010,254.9160305,67.25124461,45.08463326,93.17490873,49.40524394
1017008,312.5648855,82.46000664,55.28045138,114.2462662,60.5781613
1017011,176.7748092,46.63624295,31.26452041,64.61334218,34.26070362
1017009,94.80534351,25.01128443,16.76734152,34.65250581,18.37421175
1017001,17.79007634,4.693328908,3.146365748,6.502489213,3.447892466
1017002,107.6412214,28.39761036,19.03750415,39.34417524,20.86193163
1017003,0.450381679,0.118818453,0.079654829,0.16461998,0.087288417
1017007,2.702290076,0.71291072,0.477928974,0.987719881,0.523730501
1017005,115.2977099,30.41752406,20.39163624,42.1427149,22.34583472
1017006,204.0229008,53.82475938,36.08363757,74.57285098,39.54165284
1017012,70.03435115,18.4762695,12.38632592,25.5984069,13.57334882
1017004,0,0,0,0,0
912001008,0,0,0,0,0
1012004,0,0,0,0,0
1012026,0,0,0,0,0
1012014,0,0,0,0,0
