hid,sample_geo,groupquarter,groupquarter_dummy,groupquarter_old
2008000912809,903,1,1,2
2008000917504,400,1,1,1
2008000920621,1000,1,1,1
2008000921671,807,1,1,1
2008000922340,1000,1,1,1
2008000922437,1000,1,1,1
2008000922894,812,1,1,2
2008000923895,300,1,1,2
2008000924116,600,1,1,1
2008000924910,903,1,1,2
2008000926253,200,1,1,2
2008000926705,820,1,1,1
2008000927684,901,1,1,2
2008000929054,801,1,1,2
2008000929447,1000,1,1,1
2008000930256,700,1,1,1
2008000931723,811,1,1,1
2008000932302,1000,1,1,1
2008000935604,801,1,1,2
2008000936186,901,1,1,2
2008000939850,200,1,1,2
2008000940228,1000,1,1,1
2008000941275,400,1,1,1
2008000941387,700,1,1,1
2008000941952,801,1,1,1
2008000944485,810,1,1,1
2008000945648,502,1,1,1
2008000946268,812,1,1,1
2008000946867,905,1,1,1
2008000947415,1000,1,1,1
2008000947575,903,1,1,1
2008000947996,102,1,1,1
2008000948037,200,1,1,2
2008000949741,807,1,1,2
2008000951009,400,1,1,1
2008000951625,400,1,1,1
2008000952598,200,1,1,2
2008000953976,801,1,1,1
2008000958789,818,1,1,1
2008000959686,1000,1,1,1
2008000960403,820,1,1,1
2008000960955,1000,1,1,1
2008000966189,812,1,1,1
2008000968035,502,1,1,1
2008000968087,502,1,1,2
2008000968242,815,1,1,1
2008000970971,901,1,1,2
2008000972438,803,1,1,2
2008000972910,300,1,1,1
2008000974159,400,1,1,1
2008000974744,1000,1,1,1
2008000976082,501,1,1,1
2008000978993,1000,1,1,1
2008000981171,801,1,1,2
2008000987727,1000,1,1,1
2008000987847,903,1,1,1
2008000990864,200,1,1,2
2008000991682,1000,1,1,1
2008000993875,803,1,1,2
2008000994258,1000,1,1,1
2008000994288,803,1,1,1
2008000997576,820,1,1,1
2008000998366,1000,1,1,1
2008000998709,816,1,1,1
2008000999885,101,1,1,1
2008001001527,901,1,1,2
2008001002598,501,1,1,2
2008001002849,809,1,1,2
2008001004497,600,1,1,2
2008001005854,501,1,1,2
2008001007320,502,1,1,1
2008001010600,803,1,1,1
2008001010710,901,1,1,2
2008001012773,803,1,1,2
2008001013673,803,1,1,2
2008001017608,1000,1,1,1
2008001017838,903,1,1,1
2008001018788,103,1,1,1
2008001021702,400,1,1,1
2008001022390,816,1,1,1
2008001022586,820,1,1,1
2008001022653,811,1,1,1
2008001022688,901,1,1,2
2008001023353,903,1,1,2
2008001023700,815,1,1,1
2008001026230,400,1,1,1
2008001031592,400,1,1,1
2008001035690,812,1,1,1
2008001035846,300,1,1,2
2008001036489,814,1,1,2
2008001037512,501,1,1,2
2008001037925,400,1,1,1
2008001039519,502,1,1,2
2008001040473,400,1,1,2
2008001040807,700,1,1,2
2008001041123,812,1,1,2
2008001042925,811,1,1,2
2008001043559,816,1,1,1
2008001044994,400,1,1,1
2008001045718,300,1,1,2
2008001047992,200,1,1,1
2008001053094,901,1,1,2
2008001056051,400,1,1,1
2008001056053,700,1,1,2
2008001057488,1000,1,1,1
2008001061563,400,1,1,1
2008001064520,501,1,1,2
2008001066330,400,1,1,1
2008001066606,200,1,1,1
2008001068730,813,1,1,1
2008001072208,300,1,1,2
2008001072521,803,1,1,2
2008001075479,816,1,1,1
2008001075727,803,1,1,2
2008001076125,1000,1,1,1
2008001078085,902,1,1,1
2008001079307,812,1,1,2
2008001080035,1000,1,1,1
2008001082364,400,1,1,1
2008001082699,813,1,1,2
2008001083319,502,1,1,1
2008001083485,817,1,1,1
2008001083507,1000,1,1,1
2008001084857,903,1,1,2
2008001085340,903,1,1,1
2008001085880,818,1,1,1
2008001086643,903,1,1,2
2008001087788,819,1,1,2
2008001088094,101,1,1,2
2008001089270,101,1,1,2
2008001090235,400,1,1,1
2008001090422,1000,1,1,1
2008001091187,200,1,1,1
2008001093187,400,1,1,1
2008001093282,813,1,1,2
2008001093406,1000,1,1,1
2008001096602,903,1,1,2
2008001098799,502,1,1,2
2008001100818,820,1,1,1
2008001101708,901,1,1,2
2008001102164,803,1,1,2
2008001102893,903,1,1,2
2008001103625,103,1,1,1
2008001106896,901,1,1,2
2008001107860,400,1,1,1
2008001108064,903,1,1,2
2008001110085,400,1,1,1
2008001110859,400,1,1,1
2008001110955,802,1,1,1
2008001112782,803,1,1,1
2008001113053,502,1,1,1
2008001113993,1000,1,1,1
2008001114426,300,1,1,2
2008001115229,901,1,1,2
2008001117760,905,1,1,1
2008001118727,901,1,1,2
2008001119352,1000,1,1,1
2008001120146,813,1,1,1
2008001120516,400,1,1,1
2008001121228,803,1,1,2
2008001124153,502,1,1,1
2008001124345,903,1,1,2
2008001124580,1000,1,1,1
2008001125142,200,1,1,2
2008001125936,400,1,1,1
2008001126025,818,1,1,1
2008001129913,819,1,1,2
2008001131116,502,1,1,1
2008001133770,400,1,1,1
2008001133840,501,1,1,1
2008001135995,812,1,1,1
2008001137338,901,1,1,2
2008001139733,803,1,1,1
2008001140040,502,1,1,1
2008001144360,400,1,1,1
2008001145163,901,1,1,2
2008001146591,200,1,1,1
2008001147640,812,1,1,1
2008001148729,501,1,1,1
2008001148999,816,1,1,2
2008001151304,803,1,1,2
2008001152134,501,1,1,1
2008001153921,300,1,1,2
2008001155655,812,1,1,1
2008001157955,1000,1,1,1
2008001161106,903,1,1,1
2008001162892,200,1,1,2
2008001163390,1000,1,1,1
2008001167636,101,1,1,2
2008001167948,400,1,1,1
2008001169400,200,1,1,2
2008001171838,801,1,1,1
2008001172976,803,1,1,2
2008001173211,300,1,1,2
2008001173752,1000,1,1,1
2008001174636,816,1,1,1
2008001176902,816,1,1,2
2008001177896,803,1,1,2
2008001178398,901,1,1,2
2008001178703,812,1,1,1
2008001180280,905,1,1,1
2008001180652,815,1,1,1
2008001181714,811,1,1,1
2008001183280,200,1,1,2
2008001183812,816,1,1,2
2008001184386,200,1,1,1
2008001185568,400,1,1,2
2008001186414,400,1,1,1
2008001186491,818,1,1,1
2008001187121,901,1,1,2
2008001188531,812,1,1,1
2008001188790,807,1,1,1
2008001189589,502,1,1,1
2008001190565,902,1,1,1
2008001190683,903,1,1,2
2008001192868,812,1,1,1
2008001192982,200,1,1,1
2008001193387,200,1,1,2
2008001197198,801,1,1,1
2008001197230,903,1,1,1
2008001197374,903,1,1,1
