hid,sample_geo,gqtype,gqrtotals,gqtotals
660290,1101,2,1,1
660341,1300,2,1,1
660630,104,2,1,1
660666,305,2,1,1
661238,301,1,1,1
661493,300,1,1,1
665644,1500,2,1,1
666470,301,1,1,1
666640,500,1,1,1
666805,1500,1,1,1
667318,1101,2,1,1
667336,1300,1,1,1
667576,903,2,1,1
667865,900,1,1,1
669890,900,1,1,1
670536,905,2,1,1
671258,1300,2,1,1
671644,700,2,1,1
672985,903,1,1,1
673545,905,2,1,1
674731,300,1,1,1
676200,906,2,1,1
676591,300,1,1,1
676776,306,1,1,1
677002,902,1,1,1
677289,500,1,1,1
677763,105,1,1,1
677766,105,1,1,1
678833,901,2,1,1
679201,1300,2,1,1
681137,901,2,1,1
681214,301,2,1,1
681780,105,1,1,1
681903,101,2,1,1
682397,906,1,1,1
683658,905,2,1,1
683744,105,1,1,1
684436,905,1,1,1
685882,1101,2,1,1
686980,101,2,1,1
688473,104,2,1,1
688768,500,2,1,1
690552,306,1,1,1
690888,500,2,1,1
691178,904,1,1,1
693093,304,1,1,1
695170,900,1,1,1
695586,104,2,1,1
695676,1300,2,1,1
696259,1300,2,1,1
697561,300,1,1,1
699157,306,1,1,1
699495,306,2,1,1
700011,1300,2,1,1
701978,305,2,1,1
703065,902,1,1,1
703340,1101,2,1,1
703774,1300,2,1,1
704337,1101,1,1,1
705427,305,2,1,1
705719,1100,1,1,1
706460,1101,2,1,1
706465,103,2,1,1
706555,700,2,1,1
707497,905,2,1,1
707942,303,2,1,1
709419,1300,2,1,1
710049,302,2,1,1
710688,905,2,1,1
711169,1300,2,1,1
711428,101,2,1,1
711513,1300,2,1,1
712473,104,2,1,1
712819,305,2,1,1
714911,1500,1,1,1
716176,1101,2,1,1
716224,900,1,1,1
718059,303,1,1,1
718879,900,1,1,1
719564,304,2,1,1
719954,100,2,1,1
720013,1300,1,1,1
720178,1101,2,1,1
723632,905,1,1,1
723860,101,2,1,1
725905,301,1,1,1
726623,900,1,1,1
726971,700,2,1,1
727750,905,2,1,1
729226,302,1,1,1
729502,101,2,1,1
730089,906,1,1,1
730440,500,1,1,1
730589,1300,1,1,1
731149,300,1,1,1
731422,1300,2,1,1
732847,301,1,1,1
733339,700,2,1,1
733537,100,2,1,1
733769,304,1,1,1
733948,904,2,1,1
735748,1300,2,1,1
735872,901,2,1,1
736621,905,2,1,1
737666,905,2,1,1
737739,1101,2,1,1
738673,900,1,1,1
741023,901,2,1,1
741077,904,1,1,1
741140,104,1,1,1
741507,900,1,1,1
741845,1101,2,1,1
744071,906,2,1,1
744103,305,2,1,1
744431,904,1,1,1
745008,303,2,1,1
746186,1300,2,1,1
746463,1300,2,1,1
747114,700,2,1,1
748541,905,2,1,1
750345,1300,2,1,1
751341,900,2,1,1
752344,1300,2,1,1
752535,305,2,1,1
753891,105,1,1,1
754422,101,2,1,1
755696,700,1,1,1
756219,905,2,1,1
757924,904,2,1,1
758685,900,1,1,1
758911,904,2,1,1
759106,1500,2,1,1
759567,303,2,1,1
759742,905,1,1,1
763317,101,2,1,1
763366,301,1,1,1
763935,905,2,1,1
764372,700,2,1,1
767866,1300,2,1,1
769578,1101,2,1,1
770448,1300,2,1,1
