hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
37470,800,13,3,1,1
37551,2301,8,2,1,1
37611,303,10,1,1,1
37625,2202,12,2,1,1
37668,1106,13,3,1,1
37714,602,12,2,1,1
37777,902,11,1,1,1
37792,2103,7,1,1,1
37854,2500,2,4,1,1
37864,703,3,2,1,1
37872,1503,2,1,1,1
37878,2301,1,1,1,1
37881,901,13,2,1,1
37960,303,12,3,1,1
37965,1504,8,1,1,1
37992,2003,12,2,1,1
37994,2202,12,5,1,1
38184,1103,13,3,1,1
38206,1001,8,1,1,1
38209,701,11,3,1,1
38233,2003,7,3,1,1
38247,1205,11,2,1,1
38252,1302,6,2,1,1
38408,1104,15,3,1,1
38446,501,1,3,1,1
38578,1301,6,2,1,1
38608,303,12,2,1,1
38639,1700,11,4,1,1
38723,101,4,5,1,1
38781,1002,16,4,1,1
38803,1504,13,1,1,1
38811,302,1,2,1,1
38826,305,12,3,1,1
38866,1501,12,2,1,1
38880,1504,10,1,1,1
38890,2302,11,2,1,1
38909,2303,12,2,1,1
38952,800,14,1,1,1
38993,302,14,3,1,1
39012,1600,8,3,1,1
39025,1002,11,2,1,1
39077,703,14,4,1,1
39086,601,1,1,1,1
39189,902,8,3,1,1
39202,1700,14,4,1,1
39227,1904,1,1,1,1
39234,1800,1,1,1,1
39249,2103,12,3,1,1
39259,2103,13,3,1,1
39265,1101,2,3,1,1
39280,2202,8,5,1,1
39324,702,16,3,1,1
39393,901,15,6,1,1
39417,2002,8,3,1,1
39471,2301,12,1,1,1
39528,2303,13,6,1,1
39536,2600,15,2,1,1
39557,303,6,2,1,1
39580,901,15,4,1,1
39587,1105,4,1,1,1
39608,2002,11,1,1,1
39625,1800,6,2,1,1
39632,703,15,2,1,1
39766,1301,4,4,1,1
39885,1404,7,1,1,1
39922,301,6,1,1,1
39930,1101,13,3,1,1
39942,2500,12,4,1,1
39943,102,3,1,1,1
40166,303,16,2,1,1
40314,1002,15,2,1,1
40317,2002,10,2,1,1
40389,400,8,2,1,1
40396,2102,3,1,1,1
40449,2600,14,4,1,1
40469,2600,8,1,1,1
40517,301,1,2,1,1
40560,2001,16,2,1,1
40580,1600,13,2,1,1
40587,1401,13,1,1,1
40646,307,12,2,1,1
40649,2201,11,3,1,1
40652,1204,4,1,1,1
40678,2202,13,3,1,1
40704,2500,12,7,1,1
40755,702,3,1,1,1
40812,2002,10,1,1,1
40826,602,13,2,1,1
40829,102,3,1,1,1
40832,1800,5,4,1,1
40880,602,15,5,1,1
40913,1106,16,4,1,1
40964,2201,1,2,1,1
40965,1205,12,3,1,1
40993,1003,12,4,1,1
41066,2600,8,2,1,1
41225,1301,6,2,1,1
41256,1205,11,3,1,1
41283,601,7,2,1,1
41289,1205,10,2,1,1
41303,2500,2,2,1,1
41376,2001,10,1,1,1
41437,907,12,5,1,1
41455,102,11,1,1,1
41493,906,1,1,1,1
41545,400,12,3,1,1
41560,2003,3,1,1,1
41575,501,3,1,1,1
41587,1102,14,3,1,1
41688,2303,11,2,1,1
41852,1502,11,1,1,1
41872,1202,3,1,1,1
41945,101,8,2,1,1
41975,1101,13,4,1,1
41990,1101,12,2,1,1
42007,101,2,1,1,1
42014,1001,5,1,1,1
42045,304,6,2,1,1
42052,1700,12,2,1,1
42059,903,13,4,1,1
42161,1001,16,4,1,1
42215,1105,12,4,1,1
42258,1404,8,2,1,1
42304,1102,12,4,1,1
42433,2301,11,4,1,1
42440,1501,14,2,1,1
42475,1101,11,1,1,1
42636,1600,11,1,1,1
42679,1205,14,2,1,1
42738,308,16,2,1,1
42746,904,5,1,1,1
42812,501,1,1,1,1
42880,301,13,5,1,1
42904,301,16,1,1,1
42940,1201,11,2,1,1
42980,304,4,1,1,1
43005,903,11,2,1,1
43019,2500,14,4,1,1
43032,1402,16,4,1,1
43055,101,10,1,1,1
43070,1202,12,6,1,1
43083,602,1,1,1,1
43110,1700,4,1,1,1
43125,1102,11,2,1,1
43135,903,9,1,1,1
43185,1101,3,1,1,1
43193,1901,6,3,1,1
43304,2102,7,1,1,1
43417,2001,15,2,1,1
43499,2002,13,1,1,1
43549,502,13,5,1,1
43651,2301,12,1,1,1
43674,1502,8,1,1,1
43701,1002,6,1,1,1
43722,2104,11,5,1,1
43731,903,12,4,1,1
43818,2303,14,3,1,1
43827,1002,6,1,1,1
43868,2002,14,6,1,1
43925,602,15,3,1,1
44001,1105,16,2,1,1
44068,305,1,4,1,1
44160,2302,15,7,1,1
44173,1403,12,1,1,1
44261,2001,11,2,1,1
44267,907,10,4,1,1
44333,602,2,2,1,1
44337,602,1,1,1,1
