hid,sample_geo,gqtype,gqrtotals,gqtotals
145247,1203,1,1,1
145446,906,2,1,1
145472,2201,2,1,1
145504,3001,2,1,1
145874,3809,2,1,1
146032,2500,2,1,1
146407,4009,2,1,1
146604,701,2,1,1
146679,4112,2,1,1
146752,1300,2,1,1
146898,904,2,1,1
147052,905,2,1,1
147061,3301,1,1,1
147294,2401,1,1,1
147519,4106,1,1,1
147577,4005,2,1,1
147608,3705,2,1,1
147817,4109,2,1,1
147985,3809,2,1,1
148048,3105,1,1,1
148118,100,2,1,1
148393,701,2,1,1
148446,800,1,1,1
148547,2600,2,1,1
148895,3808,2,1,1
148915,4105,2,1,1
149013,3103,2,1,1
149050,100,1,1,1
149109,3703,2,1,1
149190,4114,2,1,1
