hid,sample_geo,hinc,hsize,hhrtotals,hhtotals
11230,4014,9,3,1,1
11237,3708,11,4,1,1
11238,4001,12,2,1,1
11249,4104,15,4,1,1
11279,3102,12,1,1,1
11301,4104,10,1,1,1
11334,4008,1,1,1,1
11359,4006,16,2,1,1
11365,4113,7,3,1,1
11372,3303,5,1,1,1
11376,4007,7,3,1,1
11378,3001,14,3,1,1
11382,3212,16,2,1,1
11399,4105,14,2,1,1
11408,3202,10,1,1,1
11415,3106,14,5,1,1
11442,3312,6,3,1,1
11446,4105,14,6,1,1
11458,4102,15,2,1,1
11465,2802,1,1,1,1
11467,3201,2,2,1,1
11482,3705,1,2,1,1
11490,4111,11,3,1,1
11499,4016,9,1,1,1
11507,4101,10,1,1,1
11508,3903,14,5,1,1
11515,3302,3,1,1,1
11520,4105,7,2,1,1
11522,4106,13,2,1,1
11529,4112,5,1,1,1
11531,2801,13,3,1,1
11564,4106,11,2,1,1
11575,4109,5,2,1,1
11612,4015,14,2,1,1
11617,3901,11,2,1,1
11639,3810,16,2,1,1
11641,4105,15,6,1,1
11651,3205,12,4,1,1
11661,3707,3,1,1,1
11662,3313,15,7,1,1
11667,2901,15,4,1,1
11707,3201,5,1,1,1
11730,4105,13,3,1,1
11743,3311,14,3,1,1
11744,4015,11,3,1,1
11751,3706,1,2,1,1
11753,3209,16,5,1,1
11769,3204,12,4,1,1
11771,4103,14,2,1,1
11772,4006,12,3,1,1
11773,4101,13,2,1,1
11776,3901,13,4,1,1
11789,4101,11,2,1,1
11792,4112,14,3,1,1
