hid,sample_geo,gqtype,gqrtotals,gqtotals
501937,904,2,1,1
502256,101,2,1,1
503163,100,2,1,1
503498,103,2,1,1
503875,903,2,1,1
504004,903,2,1,1
504698,105,2,1,1
504740,905,2,1,1
505262,900,1,1,1
505268,102,1,1,1
505272,903,2,1,1
505517,903,1,1,1
505795,904,2,1,1
506335,900,2,1,1
507372,904,2,1,1
507393,104,1,1,1
508249,905,2,1,1
508716,901,1,1,1
508774,104,1,1,1
508778,903,2,1,1
509654,102,1,1,1
510185,901,1,1,1
511739,905,2,1,1
512659,900,1,1,1
513389,101,1,1,1
514113,100,2,1,1
514505,905,1,1,1
514820,905,2,1,1
515044,105,1,1,1
515102,101,1,1,1
515368,902,1,1,1
516030,905,2,1,1
517084,104,1,1,1
518389,900,1,1,1
519446,901,1,1,1
520574,100,1,1,1
521316,905,2,1,1
521409,101,1,1,1
521517,903,2,1,1
522198,903,1,1,1
522326,900,1,1,1
522959,101,1,1,1
523325,101,2,1,1
523371,902,1,1,1
523531,900,1,1,1
524133,100,2,1,1
524628,105,2,1,1
524752,900,2,1,1
525203,902,1,1,1
526008,901,2,1,1
526691,100,2,1,1
526828,105,1,1,1
526829,906,2,1,1
527210,100,1,1,1
527460,905,2,1,1
528248,105,2,1,1
529253,905,2,1,1
529283,906,2,1,1
529372,905,1,1,1
529391,105,1,1,1
529953,103,2,1,1
530787,103,1,1,1
530806,100,1,1,1
531048,104,1,1,1
531052,906,1,1,1
531126,100,2,1,1
532155,902,1,1,1
533126,101,1,1,1
533154,905,2,1,1
534762,905,2,1,1
535425,900,2,1,1
536343,903,2,1,1
537438,904,1,1,1
537555,905,2,1,1
538327,901,1,1,1
538500,904,2,1,1
538724,102,2,1,1
539686,900,1,1,1
540626,104,2,1,1
541057,900,1,1,1
541123,905,2,1,1
542084,105,1,1,1
542283,905,2,1,1
542419,904,2,1,1
543014,101,2,1,1
543889,905,2,1,1
544347,905,2,1,1
544383,903,2,1,1
544387,902,2,1,1
544410,904,1,1,1
544509,104,2,1,1
544946,101,2,1,1
545253,905,2,1,1
545492,102,2,1,1
546021,905,2,1,1
546526,905,1,1,1
546804,105,1,1,1
547295,902,1,1,1
547637,100,1,1,1
549800,101,2,1,1
550293,101,1,1,1
550341,101,2,1,1
553900,903,2,1,1
554441,101,2,1,1
555222,100,2,1,1
555366,905,1,1,1
555468,104,2,1,1
555563,902,1,1,1
555811,104,2,1,1
556812,900,1,1,1
557634,904,1,1,1
558363,902,2,1,1
558431,901,1,1,1
559257,906,2,1,1
560675,902,1,1,1
561065,903,2,1,1
561652,105,1,1,1
562896,102,1,1,1
563019,905,2,1,1
563071,902,1,1,1
563501,103,1,1,1
563990,102,2,1,1
564796,104,1,1,1
565266,902,1,1,1
565855,901,2,1,1
566657,100,2,1,1
566728,903,1,1,1
567275,104,1,1,1
567353,905,2,1,1
567749,903,2,1,1
569381,900,2,1,1
569957,104,1,1,1
570088,104,2,1,1
570089,905,2,1,1
571287,902,2,1,1
571914,100,1,1,1
572016,905,2,1,1
572307,101,2,1,1
572639,902,1,1,1
573425,105,1,1,1
574653,904,1,1,1
574981,105,1,1,1
574987,104,2,1,1
576251,900,1,1,1
577227,903,2,1,1
577692,101,2,1,1
577821,903,2,1,1
579435,905,1,1,1
579926,905,2,1,1
580098,104,2,1,1
580103,905,2,1,1
580408,905,2,1,1
581650,104,2,1,1
582506,903,2,1,1
582575,100,2,1,1
583198,903,2,1,1
584629,901,1,1,1
585221,101,2,1,1
585269,104,1,1,1
585714,900,1,1,1
586239,904,2,1,1
587435,105,1,1,1
587708,905,2,1,1
587765,101,2,1,1
588339,904,2,1,1
588554,103,2,1,1
588716,905,2,1,1
589002,103,1,1,1
589016,905,2,1,1
589322,905,1,1,1
589563,905,2,1,1
590573,900,2,1,1
590959,905,2,1,1
591005,902,1,1,1
591422,903,2,1,1
591843,905,2,1,1
592595,902,1,1,1
592776,905,2,1,1
593768,903,1,1,1
594239,105,1,1,1
595025,903,1,1,1
595712,905,1,1,1
595895,903,1,1,1
596114,104,2,1,1
596777,903,2,1,1
597283,105,2,1,1
597796,905,1,1,1
598724,101,2,1,1
598767,100,1,1,1
598916,902,1,1,1
599412,903,2,1,1
599423,103,1,1,1
599526,903,2,1,1
599842,104,2,1,1
600469,102,2,1,1
602941,903,2,1,1
603891,104,1,1,1
604634,903,1,1,1
605541,905,1,1,1
606656,101,2,1,1
607042,905,2,1,1
607499,104,1,1,1
607721,100,2,1,1
608105,905,2,1,1
608239,903,2,1,1
608314,901,1,1,1
608468,904,2,1,1
609130,101,2,1,1
609532,903,2,1,1
610651,104,2,1,1
611041,105,2,1,1
611169,104,2,1,1
611355,900,2,1,1
612098,902,2,1,1
612717,903,1,1,1
613205,905,2,1,1
613264,903,2,1,1
614098,104,1,1,1
614791,905,2,1,1
615321,900,1,1,1
615680,903,2,1,1
615842,903,2,1,1
616474,905,2,1,1
617249,101,2,1,1
617283,101,2,1,1
618665,905,2,1,1
621744,902,1,1,1
623130,103,1,1,1
623301,900,1,1,1
623523,104,1,1,1
623766,905,2,1,1
624711,104,2,1,1
625822,100,2,1,1
626097,903,2,1,1
626127,105,1,1,1
626781,905,1,1,1
626818,105,2,1,1
627259,905,2,1,1
627664,903,1,1,1
629122,100,2,1,1
629159,103,2,1,1
629890,900,2,1,1
630460,905,1,1,1
630728,905,2,1,1
631732,903,2,1,1
631884,901,2,1,1
632176,906,2,1,1
632396,104,1,1,1
632857,102,1,1,1
632966,100,2,1,1
633337,103,2,1,1
633437,105,1,1,1
634414,903,2,1,1
634571,905,2,1,1
635901,903,1,1,1
636778,905,2,1,1
637171,101,1,1,1
639400,902,1,1,1
639705,906,1,1,1
640506,104,1,1,1
641387,903,2,1,1
643432,904,2,1,1
643757,103,1,1,1
644405,103,1,1,1
645835,104,1,1,1
646074,904,2,1,1
646498,100,2,1,1
647857,104,2,1,1
647858,101,1,1,1
648280,900,1,1,1
649006,903,2,1,1
650773,100,2,1,1
651030,104,2,1,1
651064,900,1,1,1
651069,904,2,1,1
652451,104,2,1,1
653065,905,2,1,1
653073,902,1,1,1
653637,901,1,1,1
653872,900,2,1,1
655212,102,2,1,1
655232,905,2,1,1
655969,900,1,1,1
656903,901,2,1,1
657122,102,2,1,1
657284,105,2,1,1
657435,900,1,1,1
657540,103,2,1,1
